CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
841947417,03/12/2007,12:30:00,03/15/2007,01:30:00,03/15/2007,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,67,INSIDE,RESIDENCE - APT. HOUSE,NA,,1004500,180655,40.662518015,-73.927011804,"(40.662518015, -73.927011804)"
757344382,03/14/2007,01:00:00,03/14/2007,02:30:00,03/14/2007,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,63,,STREET,NA,,1001733,169648,40.632312078,-73.937013774,"(40.632312078, -73.937013774)"
988922196,03/12/2007,20:00:00,03/13/2007,13:54:00,03/13/2007,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,108,INSIDE,RESIDENCE - APT. HOUSE,NA,,1011387,212017,40.748580841,-73.902061752,"(40.748580841, -73.902061752)"
126036604,03/12/2007,08:40:00,,,03/12/2007,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,67,,STREET,NA,,1005750,176312,40.650594487,-73.922520118,"(40.650594487, -73.922520118)"
476008172,03/09/2007,23:30:00,03/10/2007,13:30:00,03/12/2007,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,68,INSIDE,RESIDENCE-HOUSE,NA,,982002,169309,40.63139856,-74.008100414,"(40.63139856, -74.008100414)"
710825079,03/10/2007,00:45:00,03/10/2007,01:50:00,03/10/2007,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,70,INSIDE,RESIDENCE-HOUSE,NA,,996599,171216,40.63662455,-73.955507652,"(40.63662455, -73.955507652)"
518466635,03/09/2007,18:55:00,,,03/09/2007,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,67,INSIDE,COMMERCIAL BUILDING,NA,,997992,176370,40.65076912,-73.950478137,"(40.65076912, -73.950478137)"
657542535,03/08/2007,00:30:00,03/08/2007,07:00:00,03/08/2007,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,67,INSIDE,RESIDENCE - APT. HOUSE,NA,,1004534,181670,40.665303886,-73.926886199,"(40.665303886, -73.926886199)"
414499083,03/05/2007,15:45:00,,,03/05/2007,124,KIDNAPPING & RELATED OFFENSES,185,KIDNAPPING 2,COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,120,,STREET,NA,,964333,165699,40.621467762,-74.071746655,"(40.621467762, -74.071746655)"
520903451,02/28/2007,18:58:00,,,03/01/2007,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,23,INSIDE,HOSPITAL,NA,,997462,227024,40.789802923,-73.952288725,"(40.789802923, -73.952288725)"
